Time,Conductivity,Temperature,Pressure,Sea pressure,Depth,Salinity,Speed of sound,Specific conductivity,Density anomaly
1/24/2022 7:08:49,30.45829391,4.009124756,29.43218613,19.29968643,19.14230347,32.4956131,1463.753052,50842.26172,25.88365876
1/24/2022 7:08:49,30.4543438,4.01260376,29.52639771,19.39389801,19.23574638,32.48745346,1463.758667,50830.03125,25.87727
1/24/2022 7:08:49,30.45261765,4.016662598,29.6194725,19.48697281,19.32806206,32.4813385,1463.769165,50820.57813,25.87244384
1/24/2022 7:08:49,30.45734215,4.020172119,29.72990036,19.59740067,19.43758965,32.48336792,1463.788574,50822.77344,25.87422622
1/24/2022 7:08:49,30.46064377,4.023162842,29.8397789,19.70727921,19.54657173,32.48423767,1463.803833,50823.4375,25.87513541
1/24/2022 7:08:49,30.45911598,4.024505615,29.95831299,19.82581329,19.66413879,32.48104095,1463.807373,50818.71484,25.87301584
1/24/2022 7:08:50,30.45601845,4.024169922,30.05695724,19.92445755,19.76198006,32.47767258,1463.803223,50814.08984,25.87083284
1/24/2022 7:08:50,30.45222092,4.023193359,30.16700745,20.03450775,19.8711319,32.47411346,1463.796265,50809.33594,25.86861489
1/24/2022 7:08:50,30.45020294,4.019744873,30.27513123,20.14263153,19.97837448,32.47508621,1463.784912,50811.55469,25.87023411
1/24/2022 7:08:50,30.44956398,4.017913818,30.37631226,20.24381256,20.07872963,32.47609711,1463.780151,50813.44922,25.87169133
1/24/2022 7:08:50,30.44841385,4.019012451,30.483284,20.3507843,20.18482971,32.47359848,1463.783325,50809.75,25.87009678
1/24/2022 7:08:50,30.44465637,4.01940918,30.59761047,20.46511078,20.2982235,32.46871185,1463.780518,50802.84375,25.86670796
1/24/2022 7:08:50,30.44169807,4.016998291,30.71568298,20.58318329,20.41533279,32.46755219,1463.770874,50801.80859,25.86657618
1/24/2022 7:08:51,30.44657707,4.012542725,30.82588577,20.69338608,20.52463722,32.47766495,1463.766968,50817.16797,25.87556896
